IMSS Item Identifier,Title,Subject(s),Object Type,Object Type,Object Type,Material,Material,Material,Material,Material, , ,
urn:imss:instrument:402033,+Astrolabe@en, astronomy, astrolabes , , ,copper, , , , , , ,
urn:imss:instrument:402070,+Astrolabe@en, astronomy, astrolabes , , ,brass, , , , , , ,
urn:imss:instrument:403060,+Astrolabe@en, astronomy, astrolabes , , ,wood ,copper ,cardboard, , , , ,
urn:imss:instrument:403027,+Astrolabe@en, astronomy, astrolabes , , ,wood ,brass, , , , , ,
urn:imss:instrument:401008,+Astrolabe@en, astronomy, astrolabes , , ,copper, , , , , , ,
urn:imss:instrument:402056,+Astrolabe@en, astronomy, astrolabes , , ,brass, , , , , , ,
urn:imss:instrument:401046,+Astrological disk@en, astronomy, astronomical instruments, divination objects , ,copper, , , , , , ,
urn:imss:instrument:403038,+Astronomical compendium@en, astronomy, scientific instruments, timepieces , ,brass, , , , , , ,
urn:imss:instrument:401031,+Astronomical compendium@en, astronomy, sundials, dials , ,brass, , , , , , ,
urn:imss:instrument:402035,+Astronomical compendium@en, astronomy, sundials, quadrants , astrolabes ,brass, , , , , , ,
urn:imss:instrument:401016,+Astronomical ring dial@en, astronomy, sundials , , ,brass, , , , , , ,
urn:imss:instrument:401015,+Astronomical ring dial@en, astronomy, sundials , , ,brass, , , , , , ,
urn:imss:instrument:401017,+Astronomical ring dial@en, astronomy, sundials , , ,brass, , , , , , ,
urn:imss:instrument:405046,+Astronomical telescope@en, astronomy; optics, telescopes, , ,wood ,brass, , , , , ,
urn:imss:instrument:405045,+Astronomical telescope@en, astronomy;  optics, telescopes, , ,wood ,brass, , , , , ,
urn:imss:instrument:414057,+Aurora flask@en, electrical engineering, electron tubes, , ,glass ,foil ,brass ,lead, , , ,
urn:imss:instrument:414056,+Aurora flask@en, electrical engineering, electron tubes, , ,glass ,foil ,brass ,lead, , , ,
urn:imss:instrument:414058,+Aurora tube@en, electrical engineering, electron tubes, , ,glass ,mahogany ,brass, , , , ,
urn:imss:instrument:414003,+Azimuth compass@en, geography, compasses , , ,steel ,mahogany ,brass, , , , ,
urn:imss:instrument:414002,+Azimuth compass@en, geography, compasses , , ,steel ,paper ,mahogany ,brass, , , ,
urn:imss:instrument:414001,+Azimuth compass@en, geography, compasses , , ,steel ,brass, , , , , ,
urn:imss:instrument:414004,+Azimuth compass@en, geography, compasses , , ,mahogany ,brass, , , , , ,
urn:imss:instrument:402071,+Barrois compass@en, mathematics; geometry, scientific instruments, surveying instruments;,  surveyors' compasses,brass, , , , , , ,
urn:imss:instrument:414045,+Bifilar suspension electrometer; Palmieri pattern@en, electrical engineering, electrometers , , ,aluminum ,glass ,mahogany ,brass, , , ,
urn:imss:instrument:405043,+Binocular telescope@en, astronomy; optics, telescopes, , ,wood ,leather, , , , , ,
urn:imss:instrument:402009,+Box for mathematical instruments@en, mathematics; geometry, scientific instruments , , ,leather ,brass, , , , , ,
urn:imss:instrument:401131,+Box for mathematical instruments@en, mathematics; geometry, scientific instruments , , ,brass,wood , , , , , ,
urn:imss:instrument:401128,+Box for mathematical instruments@en, mathematics; geometry, scientific instruments , , ,leather ,brass, , , , , ,
urn:imss:instrument:401132,+Box for mathematical instruments@en, mathematics, scientific instruments , , ,wood ,leather ,brass, , , , ,
urn:imss:instrument:401127,+Box for mathematical instruments@en, mathematics;  geometry, scientific instruments , , ,leather ,brass, , , , , ,
urn:imss:instrument:402018,+Box for mining instruments@en, geometry, surveying instruments , , ,wood ,brass, , , , , ,
urn:imss:instrument:403016,+Box of mathematical instruments@en, mathematics;  geometry, surveying instruments, , scientific instruments ,wood ,glass ,copper ,steel ,brass, , ,
urn:imss:instrument:402010,+Box of mining instruments@en, geometry, surveying instruments , , ,leather ,brass, , , , , ,
urn:imss:instrument:404014,+Brachistocronous fall@en, mechanics, scientific instruments , , ,ivory ,wood ,brass, , , , ,
urn:imss:instrument:403012,+Calculating machine@en, mathematics; geometry, scientific instruments , , calculators ,wood ,brass, , , , , ,
urn:imss:instrument:402088,+Calculating machine@en, mathematics; geometry; geometry, scientific instruments , , calculators ,silver ,brass, , , , , ,
