IMSS Item Identifier,Title,Subject(s),Object Type,Object Type,Object Type,Material,Material,Material,Material,Material, , ,
urn:imss:instrument:414006,+Magnetic ducks@en, physical sciences, scientific instruments , , ,iron ,ceramic ,magnetite, , , , ,
urn:imss:instrument:414133,+Magneto-electric locomotive@en, electrical engineering, motors , , ,wood ,steel, , , , , ,
urn:imss:instrument:414126,+Magneto-electric machine by Pixii@en, electrical engineering, scientific instruments , , ,iron ,mahogany ,steel ,brass, , , ,
urn:imss:instrument:414131,+Magrini's electric motor@en, electrical engineering, motors , , ,wood ,iron ,brass, , , , ,
urn:imss:instrument:414122,+Maiocchi's universal galvanometer@en, electrical engineering, galvanometers , , ,wood ,steel ,paper ,brass, , , ,
urn:imss:instrument:402067,+Mariner's astrolabe@en, geography, navigational instruments, astrolabes , ,bronze, , , , , , ,
urn:imss:instrument:402085,+Mariner's compass@en, compasses, navigational instruments , , ,wood ,glass ,steel ,brass, , , ,
urn:imss:instrument:403064,+Mariner's quadrant@en, geography, scientific instruments, quadrants , navigational instruments ,brass, , , , , , ,
urn:imss:instrument:402002,+Mathematical compendium@en, mathematics; geometry, scientific instruments , , ,leather ,brass,silver , , , , ,
urn:imss:instrument:401088,+Measuring rule@en, geometry, surveying instruments, scientific instruments , scales ,wood ,brass, , , , , ,
urn:imss:instrument:402042,+Mechanical almanac@en, astronomy, scientific instruments , , ,brass, , , , , , ,
urn:imss:instrument:414128,+Medical magneto-electric machine; Clarke pattern@en, medicine; electrical engineering, scientific instruments , , ,steel ,brass, , , , , ,
urn:imss:instrument:404010,+Middle finger of Galileo's right hand@en, astronomy, relics , , ,glass ,marble, , , , , ,
urn:imss:instrument:401103,+Military compass@en, mathematics; geometry, scientific instruments , , surveyors' compasses ,iron ,brass, , , , , ,
urn:imss:instrument:401116,+Military compass@en, mathematics; geometry, scientific instruments , , proportional compasses ,brass, , , , , , ,
urn:imss:instrument:402038,+Military instrument@en, mathematics; geometry, scientific instruments , , ,brass, , , , , , ,
urn:imss:instrument:403035,+Military instrument@en, geometry, scientific instruments , , ,brass, , , , , , ,
urn:imss:instrument:401085,+Military rule@en, geometry, scientific instruments, scales , ,brass, , , , , , ,
urn:imss:instrument:401086,+Military rule@en, geometry, scientific instruments, scales , ,brass, , , , , , ,
urn:imss:instrument:416005,+Model illustrating the human arm as third-order lever@en, mechanics, models, scientific instruments , machines ,wood ,silk ,brass ,lead, , , ,
urn:imss:instrument:417005,+Model of obelisk-raising machine@en, mechanics, scientific instruments , , ,ivory ,wood ,iron ,marble ,brass, , ,
urn:imss:instrument:414119,+Model of Oersted's version of Schweigger's multiplier@en, electrical engineering, measuring devices , , ,wood ,glass ,copper ,steel ,brass, , ,
urn:imss:instrument:404005,+Model of the application of the pendulum to the clock@en, mechanics, pendulums, clocks , ,iron ,brass, , , , , ,
urn:imss:instrument:403050,+Model of the lunar orb@en, astronomy, models , , ,brass, , , , , , ,
urn:imss:instrument:417018,+Model winch@en, mechanics, scientific instruments, machines , ,wood ,brass, , , , , ,
urn:imss:instrument:417008,+Model winch@en, mechanics, scientific instruments, machines , ,wood ,brass, , , , , ,
urn:imss:instrument:414033,+Modified Carr?? electrical machine@en, electrical engineering, scientific instruments , , ,glass ,iron ,mahogany ,brass, , , ,
urn:imss:instrument:417007,+Multi-groove pulley@en, mechanics, machines , , ,wood ,lead, , , , , ,
urn:imss:instrument:416015,+Multi-lever apparatus@en, mechanics, machines , , ,wood ,brass, , , , , ,
urn:imss:instrument:416011,+Multi-lever apparatus@en, mechanics, machines , , ,wood ,brass, , , , , ,
urn:imss:instrument:414011,+Nairne's large cylinder electrical machine and prime conductor@en, electrical engineering, scientific instruments , , ,glass ,mahogany ,brass, , , , ,
urn:imss:instrument:402050,+Nautical circle@en, geography, navigational instruments , , ,brass, , , , , , ,
urn:imss:instrument:402045,+Nautical compass@en, mathematics; geometry; geography, dividers, navigational instruments, ,brass, , , , , , ,
urn:imss:instrument:402046,+Nautical compass@en, mathematics;  geometry; geography, navigational instruments, dividers , ,brass, , , , , , ,
urn:imss:instrument:402051,+Nautical hemisphere@en, geography, navigational instruments , , ,brass, , , , , , ,
urn:imss:instrument:402059,+Nautical instrument@en, geography, navigational instruments , , ,brass, , , , , , ,
urn:imss:instrument:401013,+Naviculum dial@en, astronomy, sundials , , ,brass, , , , , , ,
urn:imss:instrument:414087,+Nobili-Melloni radiant-heat thermopile@en, electrical engineering, batteries , surveying instruments, ,bismuth white ,antimony ,brass, , , , ,
urn:imss:instrument:414090,+Nobili-Melloni radiant-heat thermopile@en, electrical engineering, batteries , , ,bismuth white ,antimony ,brass ,cast iron, , , ,
urn:imss:instrument:414088,+Nobili-Melloni radiant-heat thermopile@en, electrical engineering, batteries , , ,bismuth white ,antimony ,brass, , , , ,
urn:imss:instrument:414114,+Nobili's battery for his metalochromic apparatus@en, electrical engineering, batteries , , ,wood ,glass ,zinc ,copper, , , ,
urn:imss:instrument:414085,+Nobili's box thermopile@en, electrical engineering, batteries , , ,antimony ,bismuth white ,brass, , , , ,
urn:imss:instrument:414084,+Nobili's box thermopile@en, electrical engineering, batteries , , ,bismuth white ,antimony ,brass, , , , ,
urn:imss:instrument:414086,+Nobili's box thermopile@en, electrical engineering, batteries , , ,boxwood ,antimony ,bismuth white ,brass, , , ,
urn:imss:instrument:414083,+Nobili's constant-current thermopile@en, electrical engineering, batteries , , ,bismuth white ,antimony ,brass, , , , ,
urn:imss:instrument:414082,+Nobili's constant-current thermopile@en, electrical engineering, batteries , , ,bismuth white ,antimony ,brass, , , , ,
urn:imss:instrument:414081,+Nobili's constant-current thermopile@en, electrical engineering, batteries , , ,antimony ,bismuth white ,brass, , , , ,
urn:imss:instrument:414074,+Nobili's differential galvanometer@en, electrical engineering, galvanometers , , ,wood ,steel ,brass, , , , ,
urn:imss:instrument:414089,+Nobili's disk-pattern radiant-heat thermopile@en, electrical engineering, batteries , , ,bismuth white ,antimony ,brass, , , , ,
urn:imss:instrument:414094,+Nobili's double sparking magnet@en, electrical engineering, scientific instruments , , ,iron ,mahogany ,steel ,brass, , , ,
urn:imss:instrument:414096,+Nobili's electromagnetic bobbin for sparking magnet@en, electrical engineering, coils , , ,silk ,iron ,copper ,brass, , , ,
urn:imss:instrument:414095,+Nobili's electromagnetic bobbin for sparking magnet@en, electrical engineering, coils , , ,silk ,iron ,copper, , , , ,
urn:imss:instrument:414098,+Nobili's electromagnetic kit@en, electrical engineering, scientific instruments , , ,boxwood ,iron ,zinc ,copper ,steel ,mahogany ,brass,
urn:imss:instrument:414099,+Nobili's flat coil@en, electrical engineering, coils , , ,wood ,copper ,mahogany ,brass, , , ,
urn:imss:instrument:414076,+Nobili's hydroelectric galvanometer@en, electrical engineering, galvanometers , , ,wood ,glass ,paper ,brass, , , ,
urn:imss:instrument:414077,+Nobili's instantaneous-current galvanometer@en, electrical engineering, galvanometers , , ,wood ,glass ,steel ,brass ,lead, , ,
urn:imss:instrument:414073,+Nobili's large astatic galvanometer@en, electrical engineering, galvanometers , , ,silk ,wood ,glass ,iron ,brass, , ,
urn:imss:instrument:414113,+Nobili's large membrane cell@en, electrical engineering, scientific instruments , , ,wood ,iron, , , , , ,
urn:imss:instrument:414112,+Nobili's membrane cells@en, electrical engineering, scientific instruments , , ,wood ,iron ,copper ,brass, , , ,
urn:imss:instrument:414108,+Nobili's metalochromes@en, electrical engineering, scientific instruments , , ,steel, , , , , , ,
urn:imss:instrument:414110,+Nobili's metalochromic apparatus@en, electrical engineering, scientific instruments , , ,glass ,brass ,lead, , , , ,
urn:imss:instrument:414109,+Nobili's metalochromic apparatus@en, electrical engineering, scientific instruments , , ,wood ,brass, , , , , ,
urn:imss:instrument:414111,+Nobili's metalochromic apparatus@en, electrical engineering, scientific instruments , , ,mahogany ,brass, , , , , ,
urn:imss:instrument:414107,+Nobili's model of Amp??re's theory of magnetism@en, electrical engineering, magnetometers , , ,wood ,brass, , , , , ,
urn:imss:instrument:414106,+Nobili's models of Amp??re's theory of magnetism@en, electrical engineering, magnetometers , , ,wood ,paper, , , , , ,
urn:imss:instrument:414105,+Nobili's models of magnetic field around an electrified wire@en, electrical engineering, scientific instruments , , ,wood, , , , , , ,
urn:imss:instrument:414075,+Nobili's portable galvanometer for hydroelectricity@en, electrical engineering, galvanometers , , ,wood ,iron ,paper ,brass ,lead, , ,
urn:imss:instrument:414080,+Nobili's prototype thermopile@en, electrical engineering, batteries , , ,bismuth white ,antimony ,brass, , , , ,
urn:imss:instrument:414100,+Nobili's rotating electromagnetic coil@en, electrical engineering, coils , , ,wood ,copper ,brass, , , , ,
urn:imss:instrument:414092,+Nobili's sparking magnet@en, electrical engineering, scientific instruments , , ,wood ,iron ,steel ,brass, , , ,
urn:imss:instrument:414093,+Nobili's sparking magnet@en, electrical engineering, scientific instruments , , ,wood ,iron ,steel ,brass, , , ,
urn:imss:instrument:414079,+Nobili's static-electricity galvanometer@en, electrical engineering, galvanometers , , ,wood ,glass ,steel ,paper ,brass ,lead, ,
urn:imss:instrument:414078,+Nobili's thermoelectric galvanometer@en, electrical engineering, galvanometers , , ,wood ,steel ,paper ,brass ,lead, , ,
urn:imss:instrument:414091,+Nobili's thermopile with micrometers@en, electrical engineering, batteries , , ,ebony ,bismuth white ,antimony ,brass, , , ,
urn:imss:instrument:414097,+Nobili's version of Barlow's electromagnetic terrella@en, electrical engineering, scientific instruments , , ,wood ,copper ,brass, , , , ,
urn:imss:instrument:414101,+Nobili's version of Faraday's continuously rotating wire apparatus@en, electrical engineering, scientific instruments , , ,boxwood ,zinc ,iron ,copper ,brass, , ,
urn:imss:instrument:414103,+Nobili's version of Faraday's continuously rotating wire apparatus@en, electrical engineering, scientific instruments , , ,boxwood ,iron, , , , , ,
urn:imss:instrument:414102,+Nobili's version of Faraday's continuously rotating wire apparatus@en, electrical engineering, scientific instruments , , ,boxwood ,iron ,zinc ,copper ,brass, , ,
urn:imss:instrument:414116,+Nobili's Wollaston battery element@en, electrical engineering, batteries , , ,wood ,zinc ,copper ,brass, , , ,
urn:imss:instrument:414115,+Nobili's Wollaston battery@en, electrical engineering, batteries , , ,wood ,zinc ,copper ,brass, , , ,
urn:imss:instrument:403040,+Nocturnal and quadrant@en, astronomy, quadrants, , dials ,brass, , , , , , ,
urn:imss:instrument:403039,+Nocturnal and quadrant@en, astronomy, quadrants, dials , ,brass, , , , , , ,
urn:imss:instrument:401024,+Nocturnal and sundial@en, astronomy, sundials, dials , ,brass, , , , , , ,
urn:imss:instrument:403067,+Nocturnal and sundial@en, astronomy, sundials, dials , ,brass, , , , , , ,
urn:imss:instrument:401033,+Nocturnal and sundial@en, astronomy, sundials, dials , ,wood ,brass, , , , , ,
urn:imss:instrument:401018,+Nocturnal and sundial@en, astronomy, sundials, dials , ,brass, , , , , , ,
urn:imss:instrument:402022,+Nocturnal and sundial@en, astronomy, sundials, dials , ,brass, , , , , , ,
urn:imss:instrument:401019,+Nocturnal and sundial@en, astronomy, sundials, dials , ,brass, , , , , , ,
urn:imss:instrument:403046,+Nocturnal and sundial@en, astronomy, sundials, dials , ,brass, , , , , , ,
urn:imss:instrument:403045,+Nocturnal and sundial@en, astronomy, sundials, dials , ,brass, , , , , , ,
urn:imss:instrument:401022,+Nocturnal@en, astronomy, dials , , ,brass, , , , , , ,
urn:imss:instrument:401020,+Nocturnal@en, astronomy, dials , , ,brass ,bronze, , , , , ,
urn:imss:instrument:402066,+Nocturnal@en, astronomy, dials , , ,brass, , , , , , ,
urn:imss:instrument:401021,+Nocturnal@en, astronomy, dials , , ,brass, , , , , , ,
urn:imss:instrument:401023,+Nocturnal@en, astronomy, dials , , ,brass, , , , , , ,
urn:imss:instrument:405005,+Objective lens@en, optics, lenses, , ,glass ,cardboard ,leather, , , , ,
urn:imss:instrument:405020,+Objective lens@en, optics, lenses, ,  scales ,glass, , , , , , ,
urn:imss:instrument:405022,+Objective lens@en, optics, lenses, , ,wood ,glass, , , , , ,
urn:imss:instrument:405006,+Objective lens@en, optics, lenses, , ,glass, , , , , , ,
urn:imss:instrument:405021,+Objective lens@en, optics, lenses, , ,wood ,glass ,cardboard, , , , ,
urn:imss:instrument:405003,+Objective lens@en, optics, lenses, , ,glass ,cardboard, , , , , ,
urn:imss:instrument:405013,+Objective lens@en, optics, lenses, , ,glass, , , , , , ,
urn:imss:instrument:405054,+Octagonal telescope@en, astronomy; optics, telescopes, , ,wood ,cardboard ,paper, , , , ,
urn:imss:instrument:405029,+Octagonal telescope@en, astronomy;  optics, telescopes, , ,wood ,cardboard ,paper, , , , ,
urn:imss:instrument:401075,+Octant@en, astronomy; mathematics, scientific instruments, octants , ,brass, , , , , , ,
urn:imss:instrument:401125,+Odometer@en, mathematics; geometry, odometers , , ,brass, , , , , , ,
urn:imss:instrument:401061,+Oil clock@en, timepieces , , , ,glass,pewter, , , , , ,
urn:imss:instrument:401133,+Pantograph@en, geometry, drawing instruments, pantographs , ,wood, , , , , , ,
urn:imss:instrument:405015,+Part of a compound eyepiece@en, optics, lenses, , ,cardboard ,paper, , , , , ,
urn:imss:instrument:417025,+Plane with variable inclination@en, mechanics, scientific instruments , , ,wood ,marble ,iron ,brass, , , ,
urn:imss:instrument:417024,+Plane with variable inclination@en, mechanics, scientific instruments , , ,ivory ,wood ,brass ,lead, , , ,
urn:imss:instrument:414015,+Plate electrical machine; English type@en, electrical engineering, scientific instruments , , ,wood ,glass ,brass, , , , ,
urn:imss:instrument:414016,+Plate electrical machine; French type@en, electrical engineering, scientific instruments , , ,glass ,boxwood ,brass, , , , ,
urn:imss:instrument:414027,+Plate electrical machine@en, electrical engineering, scientific instruments , , ,wood ,glass ,brass, , , , ,
urn:imss:instrument:402058,+Plate for nautical use@en, geography, navigational instruments , , ,brass, , , , , , ,
urn:imss:instrument:402078,+Plumb level (gunner's level) and proportional compasses@en, mathematics; geometry, scientific instruments , , proportional compasses ,brass, , , , , , ,
urn:imss:instrument:401112,+Plumb level@en, mathematics; geometry, scientific instruments , , ,brass, , , , , , ,
urn:imss:instrument:401114,+Plumb level@en, mathematics; geometry, scientific instruments , , ,brass, , , , , , ,
urn:imss:instrument:401115,+Plumb level@en, mathematics; geometry, scientific instruments , , ,brass, , , , , , ,
urn:imss:instrument:401111,+Plumb level@en, mathematics; geometry, scientific instruments , , ,wood, , , , , , ,
urn:imss:instrument:401113,+Plumb level@en, mathematics; geometry, scientific instruments , , ,brass, , , , , , ,
urn:imss:instrument:403055,+Polyhedral dial@en, astronomy, sundials , , ,wood, , , , , , ,
urn:imss:instrument:403053,+Polyhedral dial@en, astronomy, sundials , , ,wood, , , , , , ,
urn:imss:instrument:403047,+Polyhedral dial@en, astronomy, sundials , , ,wood, , , , , , ,
urn:imss:instrument:403059,+Polyhedral dial@en, astronomy, sundials , , ,wood, , , , , , ,
urn:imss:instrument:403056,+Polyhedral dial@en, astronomy, sundials , , ,wood, , , , , , ,
urn:imss:instrument:403054,+Polyhedral dial@en, astronomy, sundials , , ,wood, , , , , , ,
urn:imss:instrument:403048,+Polyhedral dial@en, astronomy, sundials , , ,wood, , , , , , ,
urn:imss:instrument:401060,+Polyhedral dial@en, astronomy, sundials , , ,stone, , , , , , ,
urn:imss:instrument:403058,+Polyhedral dial@en, astronomy, sundials , , ,wood, , , , , , ,
urn:imss:instrument:401032,+Polyhedral dial@en, astronomy, sundials , , ,copper, , , , , , ,
urn:imss:instrument:414019,+Portable globe electrical machine; English type@en, electrical engineering, scientific instruments , , ,glass ,mahogany ,brass, , , , ,
urn:imss:instrument:414020,+Portable globe electrical machine; English type@en, electrical engineering, scientific instruments , , ,glass ,mahogany ,brass, , , , ,
urn:imss:instrument:414022,+Portable plate electrical machine; English type@en, electrical engineering, scientific instruments , , ,wood ,glass ,brass, , , , ,
urn:imss:instrument:414026,+Portable plate electrical machine; English type@en, electrical engineering, scientific instruments , , ,glass ,mahogany ,brass, , , , ,
urn:imss:instrument:414024,+Portable plate electrical machine; English type@en, electrical engineering, scientific instruments , , ,wood ,glass ,bismuth white ,brass, , , ,
urn:imss:instrument:414023,+Portable plate electrical machine; English type@en, electrical engineering, scientific instruments , , ,wood ,glass ,brass, , , , ,
urn:imss:instrument:414025,+Portable plate electrical machine; English type@en, electrical engineering, scientific instruments , , ,wood ,glass ,velvet ,brass, , , ,
urn:imss:instrument:404011,+Portrait of Galileo@en, fine arts, portraits , , ,canvas, , , , , , ,
urn:imss:instrument:402090,+Portrait of Nikolaus Kratzer@en, fine arts, portraits, , , , , , , , , ,
urn:imss:instrument:414054,+Powder house@en, electrical engineering, lightning rods , , ,cloth ,mahogany ,brass, , , , ,
urn:imss:instrument:414053,+Powder house@en, electrical engineering, lightning rods , , ,mahogany ,brass, , , , , ,
urn:imss:instrument:414014,+Prime conductor@en, electrical engineering, scientific instruments , , ,glass ,mahogany ,brass, , , , ,
urn:imss:instrument:402021,+Proportional and surveying compasses@en, mathematics; geometry, surveying instruments, scientific instruments, proportional compasses,brass, , , , , , ,
urn:imss:instrument:401093,+Proportional compasses@en, mathematics; geometry, scientific instruments , proportional compasses , ,brass, , , , , , ,
urn:imss:instrument:402075,+Proportional compasses@en, mathematics; geometry, scientific instruments , , proportional compasses ,brass, , , , , , ,
urn:imss:instrument:402076,+Proportional compasses@en, mathematics; geometry, scientific instruments , , proportional compasses ,brass, , , , , , ,
urn:imss:instrument:403023,+Proportional compasses@en, mathematics;  geometry, scientific instruments , , proportional compasses ,brass, , , , , , ,
urn:imss:instrument:401092,+Proportional compasses@en, mathematics;  geometry, scientific instruments , , proportional compasses ,brass, , , , , , ,
urn:imss:instrument:401090,+Proportional compasses@en, mathematics;  geometry, scientific instruments , , proportional compasses ,brass, , , , , , ,
urn:imss:instrument:402037,+Proportional compasses@en, mathematics; geometry, scientific instruments , proportional compasses , ,brass, , , , , , ,
urn:imss:instrument:401087,+Proportional rule@en, geometry, drawing instruments, rulers , ,brass, , , , , , ,
urn:imss:instrument:401072,+Protractor@en, mathematics; geometry, protractors, , scientific instruments ,brass, , , , , , ,
urn:imss:instrument:402062,+Protractor@en, mathematics; geometry, protractors, , scientific instruments ,brass, , , , , , ,
urn:imss:instrument:402016,+Protractor@en, geometry, protractors, surveying instruments, drawing instruments ,brass, , , , , , ,
urn:imss:instrument:402080,+Protractor@en, mathematics; geometry, protractors, drawing instruments, scientific instruments ,brass, , , , , , ,
urn:imss:instrument:414071,+Puffer for Lichtenberg figures@en, electrical engineering, scientific instruments , , ,boxwood ,leather, , , , , ,
urn:imss:instrument:401010,+Quadrant with cursor@en, astronomy, quadrants , , ,brass, , , , , , ,
urn:imss:instrument:403032,+Quadrant@en, astronomy, quadrants , , ,leather ,brass, , , , , ,
urn:imss:instrument:403049,+Quadrant@en, astronomy, quadrants , , ,brass, , , , , , ,
urn:imss:instrument:402026,+Quadrant@en, geometry, surveying instruments, quadrants , ,wood ,copper ,leather, , , , ,
urn:imss:instrument:403030,+Quadrant@en, astronomy, quadrants , , ,brass, , , , , , ,
urn:imss:instrument:401080,+Quadrant@en, mathematics;  geometry, scientific instruments , quadrants , ,brass, , , , , , ,
urn:imss:instrument:403003,+Quadrant@en, mathematics; geometry, scientific instruments , quadrants , ,brass, , , , , , ,
urn:imss:instrument:403065,+Quadrant@en, mathematics; geometry, scientific instruments , , quadrants ,brass, , , , , , ,
urn:imss:instrument:403042,+Quadrant@en, astronomy, quadrants , , ,brass, , , , , , ,
urn:imss:instrument:403052,+Quadrant@en, astronomy, quadrants , , ,brass ,lignum vitae, , , , , ,
urn:imss:instrument:402027,+Quadrant@en, astronomy; mathematics; geometry, scientific instruments, quadrants , ,copper, , , , , , ,
urn:imss:instrument:403031,+Quadrant@en, astronomy, quadrants , , ,brass, , , , , , ,
urn:imss:instrument:403021,+Quadrant@en, mathematics.  geometry, scientific instruments , , quadrants ,brass, , , , , , ,
urn:imss:instrument:403033,+Quadrant@en, astronomy, quadrants , , ,lignum vitae, , , , , , ,
urn:imss:instrument:401081,+Quadrant@en, mathematics;  geometry, scientific instruments , , quadrants ,brass, , , , , , ,
urn:imss:instrument:403004,+Quadrant@en, mathematics;  geometry, scientific instruments , , quadrants ,iron, , , , , , ,
urn:imss:instrument:402053,+Quadrant@en, astronomy, quadrants , , ,brass, , , , , , ,
urn:imss:instrument:402055,+Quadrant@en, astronomy; mathematics, scientific instruments, quadrants, ,wood ,brass, , , , , ,
urn:imss:instrument:402061,+Quadrant@en, mathematics; geometry, scientific instruments , , quadrants ,brass, , , , , , ,
urn:imss:instrument:402004,+Quadrants@en, mathematics;  geometry, surveying instruments, scientific instruments, quadrants,brass, , , , , , ,
urn:imss:instrument:401119,+Ramrods@en, geometry, scientific instruments , , ,wood, , , , , , ,
urn:imss:instrument:401101,+Reduction compass@en, mathematics;  geometry, drawing instruments , , compasses ,brass, , , , , , ,
urn:imss:instrument:403063,+Reduction compass@en, mathematics; geometry, drawing instruments , , compasses ,wood ,leather ,steel ,brass, , , ,
urn:imss:instrument:401100,+Reduction compass@en, mathematics; geometry, drawing instruments , , compasses ,brass, , , , , , ,
urn:imss:instrument:401099,+Reduction compass@en, mathematics;  geometry, drawing instruments , , compasses ,brass, , , , , , ,
urn:imss:instrument:402011,+Reel@en, geometry, surveying instruments, scientific instruments , ,wood ,rope ,brass, , , , ,
urn:imss:instrument:401062,+Refraction dial@en, astronomy, sundials , , ,brass, , , , , , ,
urn:imss:instrument:414138,+Reis telephone transmitter@en, electrical engineering, telegraphs, , ,mahogany ,brass, , , , , ,
urn:imss:instrument:405004,+Ring for objective lens@en, optics, lenses, , ,cardboard, , , , , , ,
urn:imss:instrument:402083,+Ringing ball@en, , acoustic equipment , , ,brass, , , , , , ,
urn:imss:instrument:402082,+Ringing ball@en, , acoustic equipment , , ,brass, , , , , , ,
urn:imss:instrument:401083,+Ruler@en, geometry, drawing instruments, rulers , ,wood ,brass, , , , , ,
urn:imss:instrument:401084,+Ruler@en, geometry, drawing instruments, rulers , ,brass, , , , , , ,
urn:imss:instrument:401064,+Scaphe dial@en, astronomy, sundials , , ,brass, , , , , , ,
urn:imss:instrument:403066,+Scaphe dial@en, astronomy, sundials , , ,wood, , , , , , ,
urn:imss:instrument:401063,+Scaphe dial@en, astronomy, sundials , , ,brass, , , , , , ,
urn:imss:instrument:417014,+Screw@en, mechanics, machines , , ,wood ,iron ,brass, , , , ,
urn:imss:instrument:416014,+Second-order lever@en, mechanics, scientific instruments, machines , ,wood ,brass ,lead, , , , ,
urn:imss:instrument:414035,+Set of mercury friction tubes@en, electrical engineering, scientific instruments , , ,wood ,glass ,mercury, , , , ,
urn:imss:instrument:414041,+Single gold-leaf electroscope; Bohnenberger type@en, electrical engineering, electrometers , , ,brass ,walnut, , , , , ,
urn:imss:instrument:401095,+Single-handed dividers@en, mathematics; geometry; geography, navigational instruments, dividers, ,brass, , , , , , ,
urn:imss:instrument:401094,+Single-handed dividers@en, mathematics;  geometry; geography, navigational instruments, dividers , ,brass, , , , , , ,
urn:imss:instrument:401096,+Single-handed dividers@en, mathematics; geography; geometry, navigational instruments, dividers, ,brass, , , , , , ,
urn:imss:instrument:414063,+Small dish for igniting alcohol@en, electrical engineering, scientific instruments , , ,brass, , , , , , ,
urn:imss:instrument:401012,+Solar quadrant@en, astronomy, quadrants , , ,wood, , , , , , ,
urn:imss:instrument:401011,+Solar quadrant@en, astronomy, quadrants , , ,boxwood, , , , , , ,
urn:imss:instrument:414068,+Spark chamber of a eudiometer@en, electrical engineering, meteorological instruments , , ,glass ,copper ,brass, , , , ,
urn:imss:instrument:401082,+Square@en, geometry, drawing instruments, squares , ,brass, , , , , , ,
urn:imss:instrument:402077,+Square@en, geometry, drawing instruments, squares , ,brass, , , , , , ,
urn:imss:instrument:417016,+Stand with tackle and polyspaston@en, mechanics, scientific instruments , , ,ivory ,wood ,brass, , , , ,
urn:imss:instrument:417015,+Stand with tackles@en, mechanics, scientific instruments , , ,wood ,iron ,brass, , , , ,
urn:imss:instrument:414043,+Straw electrometer; Volta type@en, electrical engineering, electrometers , , ,glass ,brass, , , , , ,
urn:imss:instrument:414042,+Straw electrometer; Volta type@en, electrical engineering, electrometers , , ,glass ,tinfoil ,brass, , , , ,
urn:imss:instrument:414044,+Straw electrometer; Volta type@en, electrical engineering, electrometers , , ,glass ,tinfoil ,brass, , , , ,
urn:imss:instrument:401037,+Sundial@en, astronomy, sundials , , ,brass, , , , , , ,
urn:imss:instrument:401039,+Sundial@en, astronomy, sundials , , ,slate, , , , , , ,
urn:imss:instrument:401053,+Sundial@en, astronomy, sundials , , ,ivory, , , , , , ,
urn:imss:instrument:401041,+Sundial@en, astronomy, sundials , , ,slate, , , , , , ,
urn:imss:instrument:401043,+Sundial@en, astronomy, sundials , , ,slate, , , , , , ,
urn:imss:instrument:401052,+Sundial@en, astronomy, sundials , , ,ivory ,brass, , , , , ,
urn:imss:instrument:401054,+Sundial@en, astronomy, sundials , , ,ivory, , , , , , ,
urn:imss:instrument:402029,+Sundial@en, astronomy, sundials , , ,wood, , , , , , ,
urn:imss:instrument:401055,+Sundial@en, astronomy, sundials , , ,wood ,brass, , , , , ,
urn:imss:instrument:401025,+Sundial@en, astronomy, sundials , , ,wood ,glass ,brass, , , , ,
urn:imss:instrument:401036,+Sundial@en, astronomy, sundials , , ,wood, , , , , , ,
urn:imss:instrument:401044,+Sundial@en, astronomy, sundials , , ,slate, , , , , , ,
urn:imss:instrument:401038,+Sundial@en, astronomy, sundials , , ,slate, , , , , , ,
urn:imss:instrument:401045,+Sundial@en, astronomy, sundials , , ,glass ,copper ,paper ,brass, , , ,
urn:imss:instrument:401042,+Sundial@en, astronomy, sundials , , ,slate, , , , , , ,
urn:imss:instrument:401050,+Sundial@en, astronomy, sundials , , ,brass, , , , , , ,
urn:imss:instrument:401040,+Sundial@en, astronomy, sundials , , ,slate, , , , , , ,
urn:imss:instrument:401051,+Sundial@en, astronomy, sundials , , ,ivory, , , , , , ,
urn:imss:instrument:401035,+Sundial@en, astronomy, sundials , , ,brass, , , , , , ,
urn:imss:instrument:402084,+Sundial@en, astronomy, compasses , , ,wood ,copper, , , , , ,
urn:imss:instrument:401105,+Surveying compass@en, mathematics; geometry, surveying instruments, scientific instruments, surveyors' compasses ,brass, , , , , , ,
urn:imss:instrument:401070,+Surveying compass@en, mathematics; geometry, surveying instruments, compasses, scientific instruments,brass, , , , , , ,
urn:imss:instrument:401069,+Surveying compass@en, mathematics; geometry, surveying instruments, compasses, scientific instruments ,brass, , , , , , ,
urn:imss:instrument:403013,+Surveying compass@en, mathematics; geometry, surveying instruments, scientific instruments, compasses ,brass, , , , , , ,
urn:imss:instrument:401073,+Surveying compass@en, mathematics; geometry, surveying instruments, scientific instruments, compasses ,brass, , , , , , ,
urn:imss:instrument:401106,+Surveying compass@en, mathematics; geometry, surveying instruments, scientific instruments, surveyors' compasses ,brass, , , , , , ,
urn:imss:instrument:401104,+Surveying compass@en, mathematics;  geometry, surveying instruments, scientific instruments, surveyors' compasses ,brass, , , , , , ,
urn:imss:instrument:401071,+Surveying compass@en, mathematics; geometry, surveying instruments, scientific instruments, compasses ,brass, , , , , , ,
urn:imss:instrument:402063,+Surveying compass@en, mathematics; geometry, surveying instruments, scientific instruments, surveyors' compasses ,brass, , , , , , ,
urn:imss:instrument:403036,+Surveying instrument@en, geometry, surveying instruments, drawing instruments , ,brass, , , , , , ,
urn:imss:instrument:402036,+Surveying instrument@en, geometry, surveying instruments , , ,yew ,brass, , , , , ,
urn:imss:instrument:402031,+Surveying instrument@en, geometry, surveying instruments , , ,brass, , , , , , ,
urn:imss:instrument:402020,+Surveying rod@en, geometry, surveying instruments , , ,wood ,brass, , , , , ,
urn:imss:instrument:402017,+Surveying rods@en, geometry, surveying instruments , , ,brass, , , , , , ,
